"SYSTEM","RANK","FAMILY","NAME","SPECIES","AUTHORITY","FOREWING_LB","FOREWING_MED","FOREWING_UB","PRED_DRY_MASS","log_DRY_MASS","SE"
4389,"Subspecies","Geometridae","Coenotephria salicata salicata","Coenotephria salicata","(Hübner, [1799])",12,13.5,15,7.40849919663386,2.00262788122821,0.0905276365771083
4391,"Subspecies","Geometridae","Coenotephria salicata latentaria","Coenotephria salicata","(Curtis, 1830)",12,13.5,15,7.40849919663386,2.00262788122821,0.0905276365771083
4394,"Species","Geometridae","Lampropteryx suffumata","Lampropteryx suffumata","([Denis & Schiffermüller], 1775)",14,15.5,17,10.5579271781761,2.35687696906527,0.0943462521228732
4397,"Species","Geometridae","Lampropteryx otregiata","Lampropteryx otregiata","(Metcalfe, 1917)",12,13,14,6.72514201165984,1.90585304224038,0.0920576054874639
4401,"Species","Geometridae","Operophtera fagata","Operophtera fagata","(Scharfenberg, 1805)",14,16,18,11.4534145350767,2.43828789821414,0.0971965125420924
4404,"Species","Geometridae","Operophtera brumata","Operophtera brumata","(Linnaeus, 1758)",13,14.5,16,8.89834247357766,2.18586502046961,0.0906719775045944
4407,"Species","Geometridae","Epirrita dilutata","Epirrita dilutata","([Denis & Schiffermüller], 1775)",15,17.5,20,14.4121843410236,2.66807398360502,0.108451577121269
4409,"Species","Geometridae","Epirrita christyi","Epirrita christyi","(Allen, 1906)",15,17.5,20,14.4121843410236,2.66807398360502,0.108451577121269
4411,"Species","Geometridae","Epirrita autumnata","Epirrita autumnata","(Borkhausen, 1794)",16,18,20,15.4917954801563,2.74031055992298,0.112806900499174
4414,"Species","Geometridae","Epirrita filigrammaria","Epirrita filigrammaria","(Herrich-Schäffer, 1846)",14,16,18,11.4534145350767,2.43828789821414,0.0971965125420924
4418,"Species","Geometridae","Asthena albulata","Asthena albulata","(Hufnagel, 1767)",9,10,11,3.43182097903618,1.23309101797972,0.1265603994919
4422,"Species","Geometridae","Euchoeca nebulata","Euchoeca nebulata","(Scopoli, 1763)",9,10.5,12,3.88918710768473,1.35820016604628,0.117786142571213
4427,"Species","Geometridae","Hydrelia sylvata","Hydrelia sylvata","([Denis & Schiffermüller], 1775)",11,12,13,5.47726133426688,1.70060521951937,0.0986798258354383
4430,"Species","Geometridae","Hydrelia flammeolaria","Hydrelia flammeolaria","(Hufnagel, 1767)",9,10,11,3.43182097903618,1.23309101797972,0.1265603994919
4434,"Species","Geometridae","Venusia cambrica","Venusia cambrica","Curtis, 1839",13,14,15,8.13261764051859,2.09588284474105,0.0900987351350548
4437,"Species","Geometridae","Venusia blomeri","Venusia blomeri","(Curtis, 1832)",10,11.5,13,4.91097564155,1.59147262706721,0.103829145927489
4440,"Species","Geometridae","Minoa murinata","Minoa murinata","(Scopoli, 1763)",9,10,11,3.43182097903618,1.23309101797972,0.1265603994919
4445,"Species","Geometridae","Philereme vetulata","Philereme vetulata","([Denis & Schiffermüller], 1775)",13,14.5,16,8.89834247357766,2.18586502046961,0.0906719775045944
4447,"Subspecies","Geometridae","Philereme transversata transversata","Philereme transversata","(Hufnagel, 1767)",17,18.5,20,16.6193520223587,2.81056780084287,0.117349697076565
