Source,Env.,Sex,Stage,Species,Family,Order,Voltinism,Latitude,Longitude,Location,Altitude (m.a.s.l),Body Size,Original Units,Dry Mass (mg),LN Dry Mass,Notes
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.12,5.29,West Norway,35,7.44,Front WL (mm),1.00,0.00,Wing length assumed to be equal to body length. Order-specific conversion taken from Smock 1980 (J. Freshw. Biol. 10: 375-383).
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.12,5.29,West Norway,40,7.31,Front WL (mm),0.94,-0.06,
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.53,7.8,West Norway,54,7.45,Front WL (mm),1.00,0.00,
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.51,6.15,West Norway,580,8.73,Front WL (mm),1.64,0.49,
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.27,7.24,West Norway,835,7.64,Front WL (mm),1.08,0.08,
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.12,6.58,West Norway,1200,8.79,Front WL (mm),1.68,0.52,
Andersen and Wiig 1987. Ent. scand. 18: 185-204.,Freshwater,F,Adult,Apatania zonella,Apataniidae,Trichoptera,≤1,60.36,7.32,West Norway,1220,8.71,Front WL (mm),1.63,0.49,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,F,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,33.12,-107.27,"Agricultural Field Station, Jornada del Muerto, New Mexico",1500,3.17,Mass (g),1266.80,7.14,Wet mass to dry mass x0.4
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,F,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,34.34,-106.97,"Nunn Flats, Sevilleta National Wildlife Refuge, New Mexico",1600,3.59,Mass (g),1436.40,7.27,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,F,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,35.79,-106.69,"Soda Dam, Jemez Mountains, New Mexico",2150,2.03,Mass (g),810.80,6.70,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,F,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,34.79,-106.39,"Fourth of July Canyon, Manzano Mountains, New Mexico",2430,1.62,Mass (g),647.20,6.47,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,F,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,33.99,-107.19,"South Baldy, Magdalena Mountains, New Mexico",3500,1.48,Mass (g),592.00,6.38,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,F,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,35.24,-107.61,"La Mosca Peak, Mount Taylor Mountains, New Mexico",3600,1.93,Mass (g),772.00,6.65,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,M,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,33.12,-107.27,"Agricultural Field Station, Jornada del Muerto, New Mexico",1500,1.23,Mass (g),490.80,6.20,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,M,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,34.34,-106.97,"Nunn Flats, Sevilleta National Wildlife Refuge, New Mexico",1600,1.24,Mass (g),495.20,6.20,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,M,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,35.79,-106.69,"Soda Dam, Jemez Mountains, New Mexico",2150,0.61,Mass (g),244.00,5.50,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,M,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,34.79,-106.39,"Fourth of July Canyon, Manzano Mountains, New Mexico",2430,0.42,Mass (g),169.60,5.13,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,M,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,33.99,-107.19,"South Baldy, Magdalena Mountains, New Mexico",3500,0.41,Mass (g),163.60,5.10,
Ashby 1997. Physiol. Zool. 70: 701-711,Terrestrial,M,Adult,Xanthippus corallipes,Acrididae,Orthoptera,≤1,35.24,-107.61,"La Mosca Peak, Mount Taylor Mountains, New Mexico",3600,0.48,Mass (g),190.00,5.25,
Ayala et al. 2011. Infect. Gen. Evol. 11: 940-947.,Freshwater,F,Adult,Anopheles funestus,Culicidae,Diptera,>1,8.52,13.64,Cameroon (Tropical Dry),249,2.66,Wing Size (mm),0.20,-1.61,Wing L conversion for A. gambiae used. Taken from Koella & Lyimo 1996 (J. Med. Entomol. 33: 261-264).
Ayala et al. 2011. Infect. Gen. Evol. 11: 940-947.,Freshwater,F,Adult,Anopheles funestus,Culicidae,Diptera,>1,8.52,13.64,Cameroon (Tropical Dry),284,2.67,Wing Size (mm),0.20,-1.59,
Ayala et al. 2011. Infect. Gen. Evol. 11: 940-947.,Freshwater,F,Adult,Anopheles funestus,Culicidae,Diptera,>1,8.52,13.64,Cameroon (Tropical Dry),335,2.70,Wing Size (mm),0.21,-1.55,
Ayala et al. 2011. Infect. Gen. Evol. 11: 940-947.,Freshwater,F,Adult,Anopheles funestus,Culicidae,Diptera,>1,3.78,11.47,Cameroon (Central Plateau),493,2.70,Wing Size (mm),0.21,-1.55,
Ayala et al. 2011. Infect. Gen. Evol. 11: 940-947.,Freshwater,F,Adult,Anopheles funestus,Culicidae,Diptera,>1,8.52,13.64,Cameroon (Tropical Dry),590,2.76,Wing Size (mm),0.23,-1.46,
Ayala et al. 2011. Infect. Gen. Evol. 11: 940-947.,Freshwater,F,Adult,Anopheles funestus,Culicidae,Diptera,>1,3.78,11.47,Cameroon (Central Plateau),708,2.63,Wing Size (mm),0.19,-1.65,
Ayala et al. 2011. Infect. Gen. Evol. 11: 940-947.,Freshwater,F,Adult,Anopheles funestus,Culicidae,Diptera,>1,5.80,10.92,Cameroon (Western Highlands),779,2.93,Wing Size (mm),0.30,-1.21,
Ayala et al. 2011. Infect. Gen. Evol. 11: 940-947.,Freshwater,F,Adult,Anopheles funestus,Culicidae,Diptera,>1,7.17,13.57,Cameroon (Adamaoua Highlands),969,2.84,Wing Size (mm),0.26,-1.34,
Ayala et al. 2011. Infect. Gen. Evol. 11: 940-947.,Freshwater,F,Adult,Anopheles funestus,Culicidae,Diptera,>1,7.17,13.57,Cameroon (Adamaoua Highlands),1073,2.90,Wing Size (mm),0.28,-1.26,
Belen et al. 2004. Med. Vet. Entomol. 18: 343-350.,Terrestrial,F,Adult,Phlebotomus papatasi,Psychodidae,Diptera,>1,37.09,38.47,"Sanliurfa province, SE Anatolia, Turkey",368,1.16,Tibia L (mm),0.64,-0.45,Conversion created using Ward 1983 for Sepsis cynipsea. lnWW=0.276976+1.299128*ln(HTL). DW=WW*0.4
Belen et al. 2004. Med. Vet. Entomol. 18: 343-350.,Terrestrial,F,Adult,Phlebotomus papatasi,Psychodidae,Diptera,>1,37.09,38.47,"Sanliurfa province, SE Anatolia, Turkey",488,1.26,Tibia L (mm),0.71,-0.34,
Belen et al. 2004. Med. Vet. Entomol. 18: 343-350.,Terrestrial,F,Adult,Phlebotomus papatasi,Psychodidae,Diptera,>1,37.09,38.47,"Sanliurfa province, SE Anatolia, Turkey",644,1.22,Tibia L (mm),0.68,-0.38,
Belen et al. 2004. Med. Vet. Entomol. 18: 343-350.,Terrestrial,F,Adult,Phlebotomus papatasi,Psychodidae,Diptera,>1,37.09,38.47,"Sanliurfa province, SE Anatolia, Turkey",1117,1.24,Tibia L (mm),0.70,-0.36,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.29,8.28,"Neerach, Switzerland",410,13.66,Hind Femur L (mm),432.98,6.07,"Conversion for Dactylotum variegatum used (same family, similar size), taken from DeBano 2008 (J. Orthoptera. Res. 17: 293-300). Female conversion used also for males, as male equation appears incorrect in study."
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.27,8.37,"Birchwil, Switzerland",540,13.91,Hind Femur L (mm),448.51,6.11,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.11,8.38,"Schonenberg, Switzerland",670,13.44,Hind Femur L (mm),418.89,6.04,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.2,8.5,"Baretswil, Switzerland",830,13.68,Hind Femur L (mm),434.17,6.07,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.06,8.4,"Rothenthurm, Switzerland",910,13.49,Hind Femur L (mm),422.39,6.05,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.16,9.1,"Bendel, Switzerland",1055,12.84,Hind Femur L (mm),382.45,5.95,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.06,8.59,"Nafels, Switzerland",1350,13.18,Hind Femur L (mm),402.75,6.00,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.11,9.07,"Speer, Switzerland",1610,12.90,Hind Femur L (mm),385.80,5.96,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.04,9.16,"Flumserberg, Switzerland",1850,11.98,Hind Femur L (mm),332.97,5.81,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,46.55,9.08,"Elm, Switzerland",1860,12.31,Hind Femur L (mm),351.92,5.86,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.09,9.2,"Gamserrugg, Switzerland",2060,11.77,Hind Femur L (mm),321.64,5.77,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,46.58,9.25,"Pizol, Switzerland",2215,12.11,Hind Femur L (mm),340.28,5.83,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,F,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,46.46,9.37,"Hornli, Switzerland",2440,11.64,Hind Femur L (mm),314.54,5.75,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.29,8.28,"Neerach, Switzerland",410,10.52,Hind Femur L (mm),256.88,5.55,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.27,8.37,"Birchwil, Switzerland",540,10.55,Hind Femur L (mm),258.70,5.56,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.11,8.38,"Schonenberg, Switzerland",670,10.48,Hind Femur L (mm),255.05,5.54,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.2,8.5,"Baretswil, Switzerland",830,10.82,Hind Femur L (mm),271.68,5.60,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.06,8.4,"Rothenthurm, Switzerland",910,10.48,Hind Femur L (mm),255.05,5.54,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.16,9.1,"Bendel, Switzerland",1055,10.40,Hind Femur L (mm),251.43,5.53,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.06,8.59,"Nafels, Switzerland",1350,10.55,Hind Femur L (mm),258.70,5.56,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.11,9.07,"Speer, Switzerland",1610,10.27,Hind Femur L (mm),245.15,5.50,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.04,9.16,"Flumserberg, Switzerland",1850,9.62,Hind Femur L (mm),214.94,5.37,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,46.55,9.08,"Elm, Switzerland",1860,9.99,Hind Femur L (mm),231.96,5.45,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,47.09,9.2,"Gamserrugg, Switzerland",2060,9.75,Hind Femur L (mm),220.82,5.40,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,46.58,9.25,"Pizol, Switzerland",2215,9.39,Hind Femur L (mm),205.04,5.32,
Berner & Blanckenhorn 2006. J. Animal. Ecol. 75: 130-139,Terrestrial,M,Adult,Omocestus viridulus,Acrididae,Orthoptera,≤1,46.46,9.37,"Hornli, Switzerland",2440,9.54,Hind Femur L (mm),211.61,5.35,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,24.91,92.95,"Assam, India",37,4.50,Body L (mm),0.27,-1.32,Order specific conversion taken from Wardhaugh 2013 (Austral. J. Entomol. 52: 291-298)
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,24.62,92.29,"Assam, India",43,5.10,Body L (mm),0.31,-1.18,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,24.58,92.53,"Assam, India",49,6.00,Body L (mm),0.37,-0.99,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.47,95.09,"Assam, India",84,5.00,Body L (mm),0.30,-1.20,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,26.58,93.42,"Assam, India",85,5.00,Body L (mm),0.30,-1.20,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,26.83,94.43,"Assam, India",93,5.00,Body L (mm),0.30,-1.20,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,26.6,93.61,"Assam, India",96,5.00,Body L (mm),0.30,-1.20,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.41,94.89,"Assam, India",102,5.00,Body L (mm),0.30,-1.20,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,26.69,92.46,"Assam, India",104,5.00,Body L (mm),0.30,-1.20,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.12,94.86,"Assam, India",104,4.50,Body L (mm),0.27,-1.32,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.06,94.68,"Assam, India",109,4.00,Body L (mm),0.23,-1.45,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.12,94.8,"Assam, India",110,6.00,Body L (mm),0.37,-0.99,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.58,95.54,"Assam, India",111,5.00,Body L (mm),0.30,-1.20,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.28,95.31,"Assam, India",118,5.00,Body L (mm),0.30,-1.20,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.24,94.88,"Assam, India",123,5.00,Body L (mm),0.30,-1.20,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.49,95.46,"Assam, India",124,6.00,Body L (mm),0.37,-0.99,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,26.74,94.16,"Assam, India",128,5.50,Body L (mm),0.34,-1.09,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,26.67,93.9,"Assam, India",137,6.00,Body L (mm),0.37,-0.99,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.89,92.92,"Assam, India",148,5.00,Body L (mm),0.30,-1.20,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,26.75,94.14,"Assam, India",148,5.00,Body L (mm),0.30,-1.20,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.11,95.21,"Assam, India",173,5.00,Body L (mm),0.30,-1.20,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,26.27,93.89,"Assam, India",178,4.50,Body L (mm),0.27,-1.32,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.16,95.37,"Assam, India",179,4.50,Body L (mm),0.27,-1.32,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.13,93.83,"Assam, India",206,5.40,Body L (mm),0.33,-1.11,
Bhau et al. 2014. Mol. Biol. Rep. 41: 7845-7856,Terrestrial,F,Adult,Helopeltis theivora,Miridae,Hemiptera,>1,27.47,94.89,"Assam, India",209,5.10,Body L (mm),0.31,-1.18,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",758,2.32,Carapace W (mm),0.87,-0.14,"Conversion to wet mass for Tarentula kochi (same family), taken from Hagstrum 1971 (Annals of The Entomological Society of America 64: 757-760). Wet mass to dry mass x0.4"
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",857,2.37,Carapace W (mm),0.88,-0.13,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",956,2.32,Carapace W (mm),0.87,-0.14,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1058,2.18,Carapace W (mm),0.85,-0.16,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1157,2.18,Carapace W (mm),0.85,-0.16,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1256,2.07,Carapace W (mm),0.83,-0.18,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1355,2.18,Carapace W (mm),0.85,-0.16,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1454,2.18,Carapace W (mm),0.85,-0.16,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",758,2.14,Carapace W (mm),0.84,-0.17,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",857,2.11,Carapace W (mm),0.84,-0.18,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",956,2.12,Carapace W (mm),0.84,-0.17,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1058,2.11,Carapace W (mm),0.84,-0.18,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1157,2.11,Carapace W (mm),0.84,-0.18,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1256,2.06,Carapace W (mm),0.83,-0.19,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1355,2.11,Carapace W (mm),0.84,-0.18,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa lapponica,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1454,2.09,Carapace W (mm),0.83,-0.18,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",661,2.21,Carapace W (mm),0.85,-0.16,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",759,2.28,Carapace W (mm),0.86,-0.15,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",858,2.24,Carapace W (mm),0.86,-0.15,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",959,2.27,Carapace W (mm),0.86,-0.15,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1058,2.19,Carapace W (mm),0.85,-0.16,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1156,2.19,Carapace W (mm),0.85,-0.16,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1258,2.06,Carapace W (mm),0.83,-0.19,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,F,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1354,2.09,Carapace W (mm),0.84,-0.18,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",661,2.14,Carapace W (mm),0.84,-0.17,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",759,2.14,Carapace W (mm),0.84,-0.17,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",858,2.19,Carapace W (mm),0.85,-0.16,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",959,2.16,Carapace W (mm),0.85,-0.17,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1058,2.06,Carapace W (mm),0.83,-0.19,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1156,2.03,Carapace W (mm),0.83,-0.19,
Bowden et al. 2013. Polar Biol. 36: 831-836 ,Terrestrial,M,Adult,Pardosa uintana,Lycosidae,Araneae,≤1,65.52,-137.11,"Dempster Highway, Yukon Territory, Canada.",1258,2.04,Carapace W (mm),0.83,-0.19,
