"edv_code","species","family","individuals_measured","sex_measured","saproxylic_beetle_europe","saproxylic_beetle_germany","rl_cat_germany","rl_population_current_germnany","sexual_dimorphism_regarding_13_traits_extinction_risk_analyses","sexual_dimorphism_comment","sexual_dimorphism_other_morphological_charact","mean_body_length_literature","colour_lightness","mass","body_length","body_width","body_height","body_roundness","head_length","head_width","pronotum_length","pronotum_width","elytra_length","elytra_width","wing_length","wing_width","wing_area","wing_aspect","wing_load","antenna_length","mandible_length","proximal_mandible_width","mandible_aspect","eye_length","eye_area","front_femur_length","front_femur_width","front_tibia_length","mid_femur_length","mid_femur_width","mid_tibia_length","hind_femur_length","hind_femur_width","hind_tibia_length","hairiness_head_dorsal","hairiness_pronotum_dorsal","hairiness_abdomen_dorsal","hairiness_abdomen_ventral","hairiness_total","residuals_body_width","residuals_head_length","residuals_wing_length","residuals_wing_load","residuals_front_femur_length","residuals_antenna_length","residuals_eye_length"
"12","10-.005-.003-.","Abraeus_perpusillus","Histeridae",1,NA,1,1,"*","sh",0,"","",1.25,117.28,0.502,1.558,1.096,0.835,0.762,0.261,0.479,0.409,0.975,1.038,0.489,3.035,0.836,2.296,3.63,0.219,0.541,0.181,0.096,0.53,0.145,0.015,0.429,0.122,0.419,0.406,0.129,0.369,0.45,0.14,0.389,73.171,48.421,52.632,43.307,54.383,0.452,-0.154,0.444,0.461,0.287,0.065,0.206
"13","10-.007-.002-.","Acritus_minutus","Histeridae",1,NA,1,1,"3","s",0,"","",1,109.14,0.146,1.398,0.698,0.435,0.623,0.296,0.307,0.353,0.652,0.607,0.361,1.439,0.615,0.751,2.34,0.194,0.402,0.126,0.088,0.698,0.101,0.005,0.295,0.109,0.208,0.35,0.096,0.238,0.287,0.082,0.244,62.992,44.586,47.354,40.956,48.972,0.098,0.072,-0.21,0.45,0.011,-0.134,-0.065
"14","10-.0071.001-.","Aeletes_atomarius","Histeridae",1,NA,1,1,"3","ss",0,"","",1,87.69,0.118,1.441,0.557,0.429,0.77,0.313,0.269,0.395,0.557,NA,NA,2.653,0.987,2.287,2.688,0.052,0.331,0.114,0.061,0.535,0.12,0.006,0.408,0.226,0.456,0.444,0.198,0.476,0.472,0.173,0.501,26.549,0,NA,0,8.85,-0.155,0.1,0.376,-0.906,0.307,-0.356,0.082
"15","10-.016-.001-.","Dendrophilus_punctatus","Histeridae",1,NA,1,1,"*","h",0,"","",4,109.34,3.256,3.244,2.165,1.53,0.707,0.624,0.835,1.742,1,2.261,1.085,4.072,1.597,5.222,2.55,0.624,0.74,0.413,0.211,0.511,0.254,0.045,0.762,0.307,0.723,0.586,0.318,0.804,0.662,0.313,0.907,0,0,0,0,0,0.475,0.045,0.111,0.789,0.193,-0.283,0.154
"16","10-.020-.001-.","Paromalus_flavicornis","Histeridae",1,NA,1,1,"*","sh",0,"","",1.85,105.52,1.104,3.042,1.162,0.815,0.701,0.461,0.498,0.681,1.039,1.288,0.462,2.653,0.987,2.287,2.688,0.483,0.341,0.264,0.037,0.14,0.128,0.01,0.408,0.226,0.456,0.444,0.198,0.476,0.472,0.173,0.501,0,0,0,0,0,-0.09,-0.199,-0.263,0.597,-0.373,-0.999,-0.478
"17","10-.020-.002-.","Paromalus_parallelepipedus","Histeridae",2,NA,1,1,"*","h",0,"","",2.05,103.87,0.728,2.117,1.028,0.726,0.706,0.374,0.5,0.669,0.967,1.278,0.513,4.103,1.199,3.024,3.423,0.241,0.494,0.155,0.098,0.634,0.132,0.009,0.587,0.28,0.512,0.493,0.224,0.47,0.57,0.221,0.551,29.661,19.792,20.568,14.396,21.104,0.113,-0.077,0.483,0.257,0.321,-0.302,-0.144
"18","10-.021-.001-.","Hololepta_plana","Histeridae",1,NA,1,1,"*","mh",0,"","",8.5,80.41,11.1,7.282,3.808,1.129,0.296,1.091,1.387,2.344,3.701,2.819,1.892,6.426,2.142,10.773,3,1.03,1.647,1.133,0.451,0.398,0.347,0.068,1.468,0.673,1.167,1.076,0.6,0.973,1.29,0.691,1.102,0,0,0,0,0,0.314,-0.139,-0.125,0.498,0.113,-0.211,-0.21
"19","10-.022-.002-.","Epierus_comptus","Histeridae",1,NA,1,1,"R","es",0,"","",2,106.24,1.424,2.912,1.641,1.144,0.697,0.529,0.633,0.872,1.371,1.593,0.744,2.385,0.885,1.715,2.695,0.83,0.761,0.253,0.238,0.941,0.356,0.055,0.457,0.209,0.426,0.513,0.232,0.551,0.596,0.262,0.624,75.949,36.496,53.763,NA,55.403,0.295,-0.021,-0.332,1.182,-0.22,-0.157,0.582
"20","10-.024-.003-.","Platysoma_compressum","Histeridae",1,NA,1,1,"*","h",0,"","",3.5,102.16,2.035,3.334,1.824,0.887,0.486,0.631,0.818,1.016,1.727,1.659,0.915,3.66,1.436,4.236,2.549,0.48,0.703,0.523,0.366,0.7,0.277,0.033,0.754,0.309,0.662,0.645,0.322,0.629,0.684,0.326,0.7,0,0,0,0,0,0.279,0.031,-0.02,0.502,0.158,-0.359,0.217
"21","10-.024-.004-.","Platysoma_elongatum","Histeridae",1,NA,1,1,"*","s",0,"","",3,104.96,5.024,4.377,1.937,1.437,0.742,0.635,1.038,1.649,1.846,2.42,0.94,5.281,1.681,7.356,3.142,0.683,0.679,0.628,0.371,0.591,0.337,0.042,0.734,0.393,0.798,0.636,0.452,0.742,0.864,0.527,0.714,50.096,24.919,58.511,NA,44.509,0.095,-0.213,0.114,0.587,-0.117,-0.639,0.186
"22","10-.024-.005-.","Platysoma_lineare","Histeridae",1,NA,1,1,"*","s",0,"","",3,94.1,2.021,3.23,1.464,1.01,0.69,0.582,0.79,1.035,1.452,1.699,0.741,4.168,1.49,5.4,2.797,0.374,0.683,0.631,0.289,0.458,0.272,0.029,0.634,0.287,0.577,0.457,0.306,0.598,0.65,0.286,0.616,0,0,0,0,0,0.088,-0.021,0.138,0.283,0.013,-0.359,0.226
"23","10-.024-.006-.","Platysoma_angustatum","Histeridae",1,NA,1,1,"*","mh",0,"","",2.75,NA,3.501,3.969,1.761,1.241,0.705,0.621,0.87,1.344,1.721,2.057,0.882,4.723,1.859,7.291,2.541,0.48,0.817,0.505,0.267,0.529,0.242,0.029,0.735,0.357,0.732,0.697,0.367,0.676,0.808,0.388,0.787,0,0,0,0,0,0.088,-0.146,0.086,0.33,-0.026,-0.365,-0.063
"24","10-.0241.001-.","Eblisia_minor","Histeridae",1,NA,1,1,"*","mh",0,"","",3,97.39,12.906,5.477,2.665,1.884,0.707,0.784,0.943,1.387,2.409,2.329,1.379,5.15,2.048,8.469,2.515,1.524,0.493,0.501,0.118,0.236,0.406,0.059,1.052,0.419,0.897,NA,0.4,0.874,1.046,0.442,1.063,0,0,0,0,0,0.213,-0.208,-0.102,1.169,0.039,-1.161,0.185
"25","11-.001-.001-.","Sphaerites_glabratus","Sphaeritidae",1,NA,1,1,"*","s",0,"","",6.25,93.33,19.12,6.192,3.198,2.355,0.736,1.339,1.202,1.689,2.662,3.607,1.615,7.141,2.58,14.874,2.768,1.285,1.064,0.664,0.218,0.328,0.389,0.104,1.255,0.452,1.219,1.387,0.439,1.292,1.591,0.435,1.525,0,0,0,0,0,0.285,0.214,0.12,0.878,0.104,-0.502,0.04
"26","14-.002-.001-.","Nemadus_colonoides","Leiodidae",1,NA,1,1,"*","mh",0,"","",1,131.38,0.44,2.119,0.966,0.708,0.733,0.424,0.554,0.482,0.893,1.348,0.482,2.394,0.747,1.405,3.205,0.313,0.742,0.246,0.057,0.232,0.127,0.01,0.441,0.179,0.331,0.513,0.192,0.418,0.642,0.19,0.571,65.574,115.556,92.784,87.855,90.442,0.05,0.049,-0.057,0.519,0.034,0.104,-0.184
"27","14-.009-.002-.","Dreposcia_umbrina","Leiodidae",1,NA,1,1,"2","ss",0,"","",4,125.31,4.67,4.107,2.133,1.635,0.767,0.659,0.957,1.034,1.985,2.975,1.025,4.792,1.863,7.266,2.572,0.643,1.54,0.256,0.148,0.578,0.237,0.038,0.779,0.261,0.693,1.109,0.341,1.017,1.242,0.403,1.132,56.485,76.613,78.049,NA,70.382,0.249,-0.118,0.072,0.588,0.001,0.238,-0.113
"28","16-.001-.001-.","Triarthron_maerkelii","Leiodidae",1,NA,1,0,"*","s",0,"","",3,140.73,2.276,3.081,1.75,1.315,0.751,0.671,0.81,0.79,1.339,2.132,0.866,7.009,2.604,14.668,2.692,0.155,0.911,0.36,0.241,0.669,0.304,0.054,0.87,0.29,0.744,0.987,0.308,0.9,0.96,0.341,0.963,0,0,2.288,37.303,9.898,0.308,0.164,0.698,-0.551,0.373,-0.028,0.376
"29","16-.007-.001-.","Anisotoma_humeralis","Leiodidae",1,NA,1,1,"*","h",0,"","no of tarsal segments, male 5-5-4, female 5-4-4",3.35,100.63,5.4,3.486,2.109,1.437,0.681,0.698,0.944,0.925,1.815,2.277,1.018,4.779,1.797,6.889,2.659,0.784,1.032,0.27,0.075,0.278,0.309,0.059,0.661,0.243,0.626,0.767,0.306,0.688,0.918,0.319,0.846,0,0,2.947,17.903,5.212,0.384,0.091,0.209,0.948,-0.014,-0.015,0.29
"30","16-.007-.002-.","Anisotoma_axillaris","Leiodidae",1,NA,1,1,"G","s",0,"","no of tarsal segments, male 5-5-4, female 5-4-4",2,101.8,3.016,4.866,2.868,1.879,0.655,0.846,1.354,1.198,2.659,3.164,1.539,7.049,2.623,14.547,2.687,0.207,1.36,0.341,0.204,0.598,0.4,0.121,1.035,0.328,0.891,1.032,0.412,0.908,1.243,0.408,1.159,1.653,0.752,1.397,13.934,4.434,0.392,-0.023,0.313,-0.71,0.13,-0.039,0.269
