"edv_code","species","family","individuals_measured","sex_measured","saproxylic_beetle_europe","saproxylic_beetle_germany","rl_cat_germany","rl_population_current_germnany","sexual_dimorphism_regarding_13_traits_extinction_risk_analyses","sexual_dimorphism_comment","sexual_dimorphism_other_morphological_charact","mean_body_length_literature","colour_lightness","mass","body_length","body_width","body_height","body_roundness","head_length","head_width","pronotum_length","pronotum_width","elytra_length","elytra_width","wing_length","wing_width","wing_area","wing_aspect","wing_load","antenna_length","mandible_length","proximal_mandible_width","mandible_aspect","eye_length","eye_area","front_femur_length","front_femur_width","front_tibia_length","mid_femur_length","mid_femur_width","mid_tibia_length","hind_femur_length","hind_femur_width","hind_tibia_length","hairiness_head_dorsal","hairiness_pronotum_dorsal","hairiness_abdomen_dorsal","hairiness_abdomen_ventral","hairiness_total","residuals_body_width","residuals_head_length","residuals_wing_length","residuals_wing_load","residuals_front_femur_length","residuals_antenna_length","residuals_eye_length"
"293","34-.018-.002-.","Lacon_lepidopterus","Elateridae",1,NA,1,1,"1","es",0,"","",15,125.69,60.059,14.001,4.242,2.758,0.65,1.463,1.792,4.002,3.855,9.276,2.195,10.612,4.091,34.76,2.594,1.728,2.299,0.636,0.264,0.415,0.731,0.28,1.942,0.618,1.75,2.009,0.568,1.643,2.22,0.593,1.792,16.741,12.974,10.478,NA,13.398,-0.164,-0.446,-0.182,0.373,-0.202,-0.467,-0.011
"294","34-.018-.004-.","Lacon_querceus","Elateridae",1,NA,1,1,"1","es",0,"","",10,111.75,21.473,11.199,3.259,2.469,0.758,0.994,1.594,3.461,3.056,7.193,1.565,9.256,3.713,26.803,2.493,0.801,2.916,0.629,0.178,0.283,0.57,0.167,1.696,0.47,1.481,1.953,0.534,1.224,1.99,0.561,1.251,22.585,24.869,21.725,NA,23.06,-0.227,-0.628,-0.128,-0.176,-0.135,-0.028,-0.074
"295","34-.0181.001-.","Danosoma_fasciata","Elateridae",1,NA,1,1,"R","es",0,"","",16.25,119.28,134.96,17.464,4.606,2.919,0.634,1.957,2.193,3.838,4.138,10.561,2.468,11.919,4.53,42.374,2.631,3.185,2.829,0.838,0.239,0.285,0.627,0.268,2.469,0.71,2.238,2.557,0.723,2.178,2.724,0.644,2.384,0,0,0,0,0,-0.28,-0.358,-0.255,0.768,-0.164,-0.459,-0.35
"296","34-.0181.002-.","Danosoma_conspersus","Elateridae",1,NA,1,0,NA,NA,0,"","",NA,NA,53.024,22.77,7.302,4.596,0.629,2.572,3.028,5.347,5.993,15.847,3.799,15.781,6.197,77.353,2.547,0.685,3.572,1.191,0.518,0.435,0.818,0.449,2.644,0.934,2.879,2.671,0.907,3.002,2.688,0.817,3.295,12.112,7.672,9.31,8.351,9.361,-0.057,-0.329,-0.201,-1.028,-0.337,-0.465,-0.305
"297","34-.023-.001-.","Liotrichus_affinis","Elateridae",1,NA,1,0,"G","s",0,"","",11.5,115.58,18.327,9.973,2.856,2.242,0.785,0.887,1.538,2.602,2.502,7.205,1.306,12.985,5.141,53.101,2.526,0.345,4.313,0.841,0.299,0.356,0.552,0.207,2.207,0.671,2.318,2.28,0.71,2.446,2.189,0.661,NA,20.333,16.379,16.152,16.572,17.359,-0.255,-0.635,0.31,-0.904,0.234,0.468,-0.009
"298","34-.025-.001-.","Prosternon_tessellatum","Elateridae",1,NA,1,0,"*","h",0,"","",11,NA,34.32,11.232,3.753,2.013,0.536,1.089,1.568,3.008,3.146,7.29,1.92,13.333,5.395,57.158,2.471,0.6,2.882,0.67,0.244,0.364,0.493,0.15,2.454,0.625,2.262,2.366,0.718,2.258,2.387,0.684,2.556,23.729,17.766,13.319,18.512,18.332,-0.089,-0.539,0.235,-0.467,0.232,-0.043,-0.221
"299","34-.026-.001-.","Anostirus_purpureus","Elateridae",1,NA,1,1,"*","mh",0,"","",11.25,112.8,35.656,10.528,3.6,2.691,0.748,1.343,1.62,2.75,2.88,7.249,1.909,8.407,3.392,23.08,2.478,1.545,4.19,0.711,0.192,0.27,0.503,0.193,2.178,0.405,1.925,2.01,0.411,2.007,1.783,0.433,2.085,12.478,50.519,22.001,12.672,24.417,-0.072,-0.27,-0.171,0.541,0.172,0.39,-0.147
"300","34-.026-.002-.","Anostirus_gracilicollis","Elateridae",1,NA,1,1,"2","es",0,"","",12,140.36,16.89,10.286,3.597,2.593,0.721,1.275,1.476,2.769,2.51,6.378,1.686,7.358,2.581,15.81,2.851,1.068,5.209,0.704,0.234,0.332,0.568,0.214,1.526,0.514,1.63,1.918,0.536,1.502,1.984,0.574,1.716,24.39,35.857,29.656,NA,29.968,-0.052,-0.301,-0.284,0.195,-0.163,0.629,-0.006
"301","34-.026-.003-.","Anostirus_castaneus","Elateridae",1,NA,1,1,"*","mh",0,"","",9.75,118.52,53.911,11.182,3.878,2.751,0.709,1.132,1.825,3.261,3.174,7.451,1.807,9.108,3.434,25.133,2.652,2.145,4.136,0.697,0.135,0.194,0.539,0.163,1.988,0.463,2.023,2.01,0.465,1.931,2.221,0.481,2.157,24.59,22.222,27.67,25.294,24.944,-0.052,-0.496,-0.142,0.81,0.026,0.323,-0.128
"302","34-.026-.005-.","Anostirus_sulphuripennis","Elateridae",1,NA,1,1,"2","ss",0,"","",11.5,109.2,21.207,10.92,3.463,2.565,0.741,1.173,1.43,2.875,2.503,6.815,1.585,7.792,2.754,18.021,2.829,1.177,2.878,0.637,0.198,0.311,0.498,0.186,1.593,0.409,1.543,2.05,0.427,1.617,2.131,0.448,1.738,22.378,19.984,17.666,NA,20.009,-0.144,-0.439,-0.278,0.233,-0.174,-0.019,-0.187
"303","34-.0292.001-.","Paraphotistus_impressus","Elateridae",1,NA,1,0,"V","s",0,"","",14,106.17,54.13,13.565,4.106,2.768,0.674,1.488,1.789,3.52,3.565,8.472,2.071,14.657,5.5,65.763,2.665,0.823,3.54,1.232,0.662,0.537,0.64,0.199,3.232,0.722,2.764,3.24,0.769,3.018,3.609,0.734,3.199,21.521,13.614,12.177,8.475,13.947,-0.168,-0.4,0.168,-0.337,0.336,-0.007,-0.118
"304","34-.030-.001-.","Calambus_bipustulatus","Elateridae",1,NA,1,1,"V","s",0,"","",7.4,106.72,4.928,6.684,2.198,1.406,0.64,0.68,1.07,1.62,1.739,4.476,1.039,5.214,2.202,9.104,2.368,0.541,1.843,0.492,0.189,0.384,0.33,0.095,0.933,0.26,0.896,1.045,0.274,0.978,1.155,0.285,1.005,28.037,37.975,28.874,NA,31.629,-0.158,-0.533,-0.26,-0.061,-0.262,-0.022,-0.189
"305","34-.031-.001-.","Hypoganus_inunctus","Elateridae",1,NA,1,1,"V","s",0,"","",9,114.63,13.74,11.059,3.266,2.153,0.659,1.251,1.402,2.365,2.529,7.287,1.292,6.779,3.185,19.017,2.128,0.723,3.026,0.572,0.304,0.531,0.535,0.199,1.464,0.274,1.312,1.466,0.38,1.302,1.319,0.338,1.527,23.14,20.708,18.776,26.592,22.304,-0.214,-0.386,-0.428,-0.267,-0.27,0.02,-0.126
"306","34-.033-.001-.","Denticollis_borealis","Elateridae",1,NA,1,1,"0","ex",0,"","",11,102.08,27.616,11.875,4.095,2.355,0.575,1.278,1.779,2.768,2.755,8.031,1.779,9.766,3.688,28.906,2.648,0.955,2.746,0.555,0.176,0.317,0.547,0.2,1.771,0.714,1.414,1.997,0.567,1.755,2.139,0.504,1.805,13.498,17.429,12.929,NA,14.619,-0.052,-0.43,-0.124,-0.057,-0.145,-0.141,-0.164
"307","34-.033-.002-.","Denticollis_rubens","Elateridae",1,NA,1,1,"3","s",0,"","",13.5,119.23,54.558,14.006,3.565,2.76,0.774,1.594,1.972,2.453,2.396,9.788,1.761,11.043,4.444,41.454,2.485,1.316,7.438,0.635,0.113,0.178,0.675,0.31,1.571,0.42,1.973,1.611,0.477,1.988,1.742,0.409,2.123,13.445,8.772,19.875,15.538,14.407,-0.338,-0.361,-0.142,0.101,-0.415,0.707,-0.091
"308","34-.033-.004-.","Denticollis_linearis","Elateridae",1,NA,1,1,"*","h",0,"","",10.75,120.69,48.633,13.024,3.2,2.45,0.766,1.508,1.997,2.064,2.239,9.12,1.668,10.168,4.506,39.144,2.257,1.242,5.663,0.57,0.099,0.174,0.632,0.284,1.842,0.438,1.792,1.715,0.468,1.963,1.825,0.403,2.102,17.065,13.953,13.789,22.621,16.857,-0.381,-0.35,-0.163,0.115,-0.19,0.499,-0.096
"309","34-.036-.001-.","Limoniscus_violaceus","Elateridae",1,NA,1,1,"1","es",0,"","",10,103.13,21.665,11.131,2.839,2.582,0.909,1.174,1.517,3.198,2.613,6.873,1.29,7.886,3.337,21.199,2.363,1.022,3.197,0.628,0.225,0.358,0.524,0.18,1.685,0.439,1.243,1.809,0.45,1.296,1.929,0.462,1.64,18.47,22.971,25.581,NA,22.341,-0.36,-0.456,-0.283,0.074,-0.136,0.069,-0.153
"310","34-.0371.001-.","Diacanthous_undulatus","Elateridae",3,NA,1,1,"3","ss",0,"","",15.75,128.38,80.919,15.686,4.215,3.029,0.719,1.591,2.345,4.046,3.882,10.302,2.087,15.954,5.901,86.017,2.704,0.941,4.829,0.742,0.276,0.371,0.76,0.388,2.982,0.828,2.847,2.861,0.843,2.871,2.856,0.715,3.178,22.107,13.964,12.611,13.19,15.468,-0.272,-0.467,0.129,-0.346,0.123,0.172,-0.068
"311","34-.038-.001-.","Stenagostus_rufus","Elateridae",1,NA,1,1,"V","s",0,"","",24,112.01,215.21,26.182,7.487,5.353,0.715,2.169,3.551,6.732,5.936,17.696,3.84,20.719,7.63,128.146,2.715,1.679,8.106,1.33,0.596,0.448,1.41,1.586,3.515,1.212,3.628,4.011,1.229,3.189,4.481,1.042,3.867,7.887,10.108,15.625,NA,11.207,-0.157,-0.627,-0.048,-0.269,-0.179,0.229,0.122
"312","34-.038-.002-.","Stenagostus_rhombeus","Elateridae",1,NA,1,1,"*","mh",0,"","",18,100.45,96.32,17.912,4.528,3.072,0.678,1.713,2.4,4.44,3.7,11.364,2.127,13.27,4.88,53.234,2.719,1.809,5.572,0.859,0.311,0.362,0.981,0.68,1.793,0.512,2.196,1.789,0.66,2.148,1.608,0.529,2.278,4.043,10.27,13.634,13.021,10.242,-0.32,-0.515,-0.169,0.178,-0.507,0.196,0.077
"313","34-.040-.001-.","Crepidophorus_mutilatus","Elateridae",1,NA,1,1,"2","ss",0,"","",14,117.55,15.935,12.438,3.412,2.714,0.795,1.24,1.767,3.348,2.847,7.843,1.488,8.91,2.541,19.689,3.506,0.809,4.502,0.66,0.263,0.398,0.598,0.237,1.607,0.507,1.522,2.027,0.518,1.682,2.207,0.539,1.812,32.843,26.704,23.522,NA,27.689,-0.276,-0.503,-0.255,-0.269,-0.284,0.312,-0.113
"314","34-.041-.003-.","Athous_subfuscus","Elateridae",1,NA,1,0,"*","sh",0,"","",9.15,131.35,11.64,8.753,2.36,1.79,0.758,0.907,1.232,2.21,1.93,5.872,1.18,11.129,4.672,42.313,2.382,0.275,2.862,0.402,0.173,0.43,0.443,0.105,1.962,0.618,1.761,1.844,0.485,1.808,1.755,0.477,2.077,23.585,23.859,17.797,15.598,20.21,-0.329,-0.493,0.267,-1.003,0.235,0.175,-0.12
"315","34-.049-.002-.","Cardiophorus_gramineus","Elateridae",1,NA,1,1,"2","ss",0,"","",7.75,103.87,10.56,7.849,2.565,2.339,0.912,0.885,1.293,2.295,2.283,5.111,1.214,6.501,2.72,13.937,2.39,0.758,3.269,0.542,0.185,0.341,0.439,0.147,1.266,0.425,1.07,1.41,0.439,1.158,1.689,0.443,1.217,46.44,43.821,47.776,NA,46.012,-0.148,-0.417,-0.177,0.117,-0.103,0.407,-0.038
"316","34-.052-.001-.","Drapetes_mordelloides","Elateridae",1,NA,1,1,"3","s",0,"","",4.5,99.2,3.644,4.262,1.709,1.173,0.686,0.599,0.805,1.032,1.53,2.722,0.779,3.311,1.565,4.128,2.116,0.883,1.129,0.331,0.065,0.196,0.29,0.04,0.533,0.221,0.597,0.545,0.21,0.609,0.563,0.191,0.624,0,9.371,11.553,26.846,11.942,-0.006,-0.247,-0.33,0.869,-0.413,-0.106,0.058
"317","36-.001-.001-.","Melasis_buprestoides","Eucnemidae",2,NA,1,1,"*","mh",0,"","",7,113.75,10.835,6.401,1.728,1.683,0.974,1.311,1.387,1.531,1.709,4.587,0.92,5.39,2.267,10.265,2.377,1.056,1.634,0.381,0.111,0.291,0.4,0.08,0.832,0.329,0.773,0.893,0.387,0.996,0.923,0.423,1.107,29.511,14.428,25.557,35.433,26.232,-0.36,0.162,-0.19,0.649,-0.338,-0.103,0.04
"318","36-.002-.001-.","Isorhipis_melasoides","Eucnemidae",1,"male",1,1,"3","s",1,"male: antennae flabellate, female: serrate","",9,117.57,6.476,6.998,1.738,1.794,1.032,1.156,1.323,1.342,1.468,4.507,0.773,5.425,2.167,9.456,2.503,0.685,2.327,0.558,0.367,0.658,0.492,0.168,1.072,0.27,0.819,1.188,0.31,0.916,1.243,0.336,0.98,33.283,35.422,47.865,NA,38.857,-0.434,-0.045,-0.26,0.129,-0.165,0.17,0.172
"319","36-.002-.002-.","Isorhipis_marmottani","Eucnemidae",1,"male",1,1,"2","ss",1,"male: antennae flabellate, female: serrate","",6,122.21,NA,5.65,1.527,1.329,0.87,1.753,2.171,1.227,1.3,3.814,0.98,NA,NA,NA,NA,NA,2.072,0.296,0.144,0.486,0.387,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.105,41.868,43.878,NA,35.95,-0.372,0.568,NA,NA,NA,0.247,0.111
"320","36-.003-.001-.","Eucnemis_capucina","Eucnemidae",2,NA,1,1,"3","s",0,"","",5,101.39,6.056,5.513,1.758,1.438,0.818,0.947,1.102,1.464,1.758,3.606,0.881,4.226,1.764,6.442,2.395,0.94,1.853,0.347,0.139,0.401,0.324,0.07,0.788,0.227,0.524,0.846,0.269,0.597,0.792,0.25,0.672,12.859,15.582,22.714,58.442,27.399,-0.209,-0.025,-0.306,0.68,-0.257,0.157,-0.048
"321","36-.004-.001-.","Dromaeolus_barnabita","Eucnemidae",1,NA,1,1,"*","s",0,"","",5,108.03,4.881,5.426,1.783,1.418,0.795,0.763,1.014,1.586,1.783,3.694,0.758,4.186,1.711,6.175,2.447,0.79,1.687,0.376,0.117,0.311,0.41,0.094,0.931,0.247,0.574,1.011,0.272,0.733,1.147,0.282,0.759,25.641,39.282,52.77,NA,39.231,-0.181,-0.227,-0.302,0.522,-0.075,0.078,0.203
"322","36-.0082.003-.","Microrhagus_pygmaeus","Eucnemidae",1,"female",1,1,"3","s",1,"male: antennae pectinate, female: serrate","",NA,126.94,2.38,3.897,1.229,1.009,0.821,0.524,0.826,1.043,1.196,2.864,0.574,3.689,1.726,4.853,2.137,0.49,1.856,0.269,0.129,0.48,0.215,0.036,0.689,0.153,0.506,0.566,0.172,0.575,0.478,0.147,0.566,46.569,46.472,39.249,47.285,44.894,-0.256,-0.299,-0.145,0.369,-0.074,0.472,-0.166
"323","36-.0082.004-.","Microrhagus_lepidus","Eucnemidae",1,"male",1,1,"*","s",1,"male: antennae pectinate, female: serrate","",NA,128.28,3.512,4.879,1.522,1.172,0.77,0.548,1.023,1.259,1.519,3.489,0.714,4.427,2,6.592,2.214,0.533,2.8,0.368,0.247,0.671,0.275,0.056,0.838,0.15,0.645,0.84,0.214,0.709,0.643,0.183,0.748,54.113,41.551,40.431,40.128,44.056,-0.243,-0.46,-0.155,0.232,-0.083,0.68,-0.108
"324","36-.010-.001-.","Nematodes_filum","Eucnemidae",1,NA,1,1,"0","ex",0,"","",5,121.59,3.124,6.081,1.414,1.238,0.876,0.909,1.072,1.423,1.371,3.678,0.595,3.794,1.429,4.49,2.655,0.696,1.977,0.326,0.166,0.509,0.324,0.063,0.783,0.243,0.767,0.871,0.296,0.63,0.977,0.358,0.653,35.448,40.876,70.588,NA,48.971,-0.515,-0.156,-0.497,0.282,-0.352,0.134,-0.128
"325","36-.011-.001-.","Hylis_olexai","Eucnemidae",1,NA,1,1,"V","mh",0,"","",4,124.33,4.027,4.63,1.487,1.203,0.809,0.694,0.894,1.351,1.487,3.274,0.732,3.74,1.703,4.834,2.196,0.833,1.402,0.305,0.119,0.39,0.304,0.056,0.761,0.181,0.564,0.745,0.202,0.666,0.567,0.188,0.731,75.758,56.505,51.913,76.443,65.154,-0.22,-0.176,-0.279,0.73,-0.132,0.036,0.036
"326","36-.011-.002-.","Hylis_cariniceps","Eucnemidae",1,NA,1,1,"3","s",0,"","",5,132.1,5.768,5.665,1.664,1.338,0.804,0.809,1.034,1.428,1.657,3.705,0.855,4.397,2.024,7.704,2.172,0.749,1.983,0.372,0.179,0.481,0.404,0.066,0.833,0.208,0.563,0.826,0.254,0.666,0.754,0.236,0.83,38.997,10.896,8.187,25.411,20.873,-0.288,-0.208,-0.289,0.425,-0.225,0.201,0.152
"327","36-.011-.003-.","Hylis_foveicollis","Eucnemidae",1,NA,1,1,"V","mh",0,"","",5,114.77,5.655,5.27,1.606,1.187,0.739,0.904,1.016,1.292,1.606,3.37,0.91,3.988,1.886,5.349,2.115,1.057,2.177,NA,NA,NA,0.338,0.065,0.702,0.228,0.592,0.802,0.257,0.765,0.724,0.23,0.831,46.832,46.784,49.451,57.74,50.201,-0.259,-0.03,-0.325,0.841,-0.33,0.359,0.034
"328","36-.011-.004-.","Hylis_procerulus","Eucnemidae",2,NA,1,1,"R","es",0,"","",4.25,89.36,3.889,4.71,1.44,1.142,0.793,0.773,0.921,1.123,1.408,3.276,0.699,4.557,2.199,8.557,2.073,0.454,1.992,0.286,0.122,0.425,0.364,0.081,0.847,0.252,0.689,0.88,0.258,0.836,0.898,0.243,0.931,42.46,46.495,50.072,36.343,43.842,-0.268,-0.084,-0.096,0.107,-0.04,0.372,0.202
"329","36-.012-.001-.","Xylophilus_corticalis","Eucnemidae",2,NA,1,1,"2","ss",0,"","",5,108.67,5.239,5.074,1.576,1.478,0.938,0.978,1.137,1.34,1.495,3.458,0.685,5.385,2.219,10.571,2.427,0.496,2.146,0.298,0.132,0.443,0.377,0.082,0.827,0.292,0.809,0.959,0.324,0.915,0.907,0.319,0.907,16,12.709,12.87,20.038,15.404,-0.244,0.083,0.008,0.121,-0.133,0.379,0.175
"330","36-.012-.002-.","Xylophilus_testaceus","Eucnemidae",1,NA,1,1,"R","es",0,"","",3,116.8,NA,4.341,1.596,1.128,0.707,0.865,0.956,1.056,1.238,2.906,0.798,NA,NA,NA,NA,NA,1.584,0.24,0.177,0.738,0.237,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.438,25.848,22.556,NA,22.614,-0.091,0.104,NA,NA,NA,0.216,-0.159
"331","38-.0011.001-.","Acmaeoderella_flavofasciata","Buprestidae",2,NA,1,1,"1","es",0,"","",8,106.78,26.181,7.667,2.927,2.504,0.855,1.244,1.714,1.619,2.819,5.853,1.484,6.274,2.781,13.653,2.256,1.918,1.667,0.385,0.193,0.501,1.114,0.494,0.944,0.3,1.213,1.115,0.375,1.036,1.283,0.329,1.172,12.747,13.547,6.067,NA,10.787,0.005,-0.055,-0.193,1.069,-0.376,-0.246,0.913
"332","38-.002-.001-.","Chalcophora_mariana","Buprestidae",1,NA,1,1,"G","s",0,"","",28,113.38,683.23,29.691,11.005,8.184,0.744,3.327,5.347,6.528,9.008,21.014,5.119,20.36,7.879,119.973,2.584,5.695,7.177,1.859,1,0.538,2.432,3.369,3.089,1.901,4.567,3.228,1.976,5.587,3.464,2.132,6.446,4.489,6.661,6.837,NA,5.996,0.115,-0.315,-0.173,0.828,-0.423,-0.006,0.562
"333","38-.005-.001-.","Ptosima_undecimmaculata","Buprestidae",1,NA,1,1,"3","ss",0,"","",10,112.28,32.947,12.66,3.468,3.367,0.971,1.92,2.316,2.595,3.255,7.952,1.277,8.001,3.304,21.687,2.422,1.519,NA,0.62,0.258,0.416,1.192,0.551,1.675,0.493,1.593,1.843,0.516,1.848,2.053,0.672,2.012,13.817,11.063,19.577,NA,14.819,-0.275,-0.082,-0.378,0.344,-0.259,NA,0.562
"334","38-.007-.001-.","Dicerca_aenea","Buprestidae",1,NA,1,1,"0","ex",0,"","",20,110.16,296.42,20.289,7.663,5.103,0.666,3.413,3.951,3.808,6.414,14.687,3.791,15.107,5.998,73.268,2.519,4.046,3.749,1.416,0.772,0.545,1.761,1.284,2.06,0.99,3.194,2.566,0.995,3.456,2.911,1.095,4.288,5.063,5.613,6.067,NA,5.581,0.095,0.06,-0.146,0.86,-0.481,-0.313,0.558
"335","38-.007-.002-.","Dicerca_berolinensis","Buprestidae",1,NA,1,1,"2","ss",0,"","",22,106.41,321.8,21.297,8.125,5.937,0.731,2.72,4.199,4.006,6.741,15.799,4.07,15.713,6.094,81.88,2.578,3.93,4.127,1.47,0.487,0.331,1.854,1.546,3.315,1.092,3.463,4.261,1.116,3.397,4.073,1.025,4.465,1.435,0,0,NA,0.478,0.11,-0.211,-0.148,0.784,-0.05,-0.26,0.569
"336","38-.007-.003-.","Dicerca_alni","Buprestidae",1,NA,1,1,"2","ss",0,"","",19,110.66,194.2,19.09,6.927,5.332,0.77,3.628,3.936,3.696,5.918,13.855,3.387,14.672,5.534,61.251,2.651,3.171,3.592,1.385,0.566,0.409,1.702,1.248,2.418,0.921,2.933,2.678,0.977,3.752,3.412,1.024,4.767,5.589,5.745,5.905,NA,5.747,0.048,0.177,-0.123,0.676,-0.266,-0.3,0.575
"337","38-.007-.004-.","Dicerca_furcata","Buprestidae",2,NA,1,1,"1","es",0,"","",17,109.55,106.7,17.792,6.071,4.506,0.742,2.263,3.175,3.638,5.244,13.162,2.936,12.915,5.195,56.121,2.486,1.901,3.037,1.014,0.376,0.371,1.545,0.836,2.909,0.928,2.345,3.016,1.012,2.729,2.925,0.902,4.252,3.15,2.861,3.236,NA,3.082,-0.021,-0.23,-0.19,0.234,-0.017,-0.405,0.536
"338","38-.007-.005-.","Dicerca_moesta","Buprestidae",1,NA,1,1,"1","es",0,"","",14,112.45,107.455,15.632,6.142,4.592,0.748,2.861,3.231,3.664,5.422,10.88,3.167,11.324,4.4,42.103,2.574,2.552,3.107,0.675,0.295,0.437,1.607,1.305,2.239,0.896,3.237,2.582,0.929,3.479,2.872,0.985,3.809,4.954,7.377,6.947,NA,6.426,0.107,0.123,-0.211,0.655,-0.161,-0.265,0.684
"339","38-.008-.001-.","Poecilonota_variolosa","Buprestidae",1,NA,1,1,"2","ss",0,"","",17,NA,64.6,15.06,6.142,4.335,0.706,2.607,2.915,3.249,5.214,10.667,2.993,10.791,4.353,38.247,2.479,1.689,3.196,1.07,0.681,0.636,1.686,1.082,1.925,0.955,2.125,2.134,0.915,2.254,3.043,1.001,3.455,4.804,8.055,4.009,NA,5.623,0.141,0.064,-0.227,0.279,-0.278,-0.204,0.763
"340","38-.009-.002-.","Lamprodila_rutilans","Buprestidae",1,NA,1,1,"2","ss",0,"","",12,122.76,49.4,11.69,4.683,3.199,0.683,1.904,2.318,2.304,3.575,9.024,2.332,8.389,3.04,21.373,2.76,2.311,1.464,0.383,0.352,0.919,1.547,0.937,2.033,0.625,1.929,2.165,0.613,2.022,2.115,0.621,2.593,16.517,0,0,18.445,8.74,0.097,-0.017,-0.263,0.841,0.008,-0.756,0.889
"341","38-.009-.003-.","Lamprodila_mirifica","Buprestidae",1,NA,1,1,"1","es",0,"","",11,120.18,27.645,12.125,5.2,2.744,0.528,1.819,2.342,2.275,3.539,9.422,2.596,9.169,3.279,25.667,2.796,1.077,2.276,0.481,0.305,0.634,1.489,0.869,1.731,0.576,1.749,1.821,0.572,2.048,1.742,0.574,2.493,13.636,0,0,9.717,5.838,0.169,-0.096,-0.205,0.042,-0.187,-0.348,0.82
"342","38-.009-.004-.","Lamprodila_festiva","Buprestidae",1,NA,1,1,"3","ss",0,"","",9,115.92,18.7,8.927,3.454,2.836,0.821,1.948,2.12,1.897,2.95,6.001,1.649,7.264,2.854,17.658,2.545,1.059,1.879,0.579,0.308,0.532,1.313,0.609,1.256,0.549,1.198,1.585,0.601,1.31,1.893,0.633,1.741,11.321,11.525,6.671,NA,9.839,0.034,0.253,-0.176,0.326,-0.229,-0.263,0.95
"343","38-.011-.001-.","Eurythyrea_austriaca","Buprestidae",1,NA,1,1,"0","ex",0,"","",19,102.87,243.8,20.139,7.726,5.869,0.76,2.226,4.211,3.425,6.597,15.323,3.855,15.12,6.447,74.572,2.345,3.269,4.582,0.693,0.202,0.291,2.264,2.456,3.378,0.889,2.951,3.655,0.82,3.374,4.166,0.881,3.818,0,0,1.297,NA,0.432,0.109,-0.36,-0.139,0.654,0.02,-0.105,0.815
"344","38-.012-.001-.","Buprestis_splendens","Buprestidae",1,NA,1,1,"0","ex",0,"","",19,121.65,140.9,16.144,6.446,4.401,0.683,2.662,3.071,3.106,4.814,11.747,3.206,12.324,4.76,46.177,2.589,3.051,3.67,0.711,0.534,0.751,1.661,1.162,1.813,0.631,2.432,2.026,0.69,2.548,2.742,0.771,2.923,9.772,8.725,9.046,NA,9.181,0.127,0.021,-0.154,0.802,-0.401,-0.128,0.69
"345","38-.012-.002-.","Buprestis_rustica","Buprestidae",1,NA,1,1,"*","s",0,"","",16,115.96,108.118,13.519,5.342,3.684,0.69,2.227,2.914,2.448,4.878,10.608,2.783,10.098,3.737,29.628,2.702,3.649,NA,0.833,0.62,0.744,1.689,1.198,2.078,0.806,2.166,2.182,0.686,2.635,2.658,0.645,3.275,0,0,0,0,0,0.098,0.006,-0.201,1.156,-0.103,NA,0.855
"346","38-.012-.003-.","Buprestis_haemorrhoidalis","Buprestidae",1,NA,1,1,"R","es",0,"","",16,92.24,115.05,17.428,6.262,4.451,0.711,2.866,3.404,3.39,5.268,12.37,3.373,12.546,5.058,51.058,2.48,2.253,4.352,0.683,0.136,0.199,1.876,1.393,2.567,0.998,1.224,2.706,0.866,2.654,2.796,0.861,2.826,7.638,6.074,3.261,NA,5.658,0.029,0.025,-0.202,0.424,-0.123,-0.026,0.748
"347","38-.012-.004-.","Buprestis_novemmaculata","Buprestidae",1,NA,1,1,"3","s",0,"","",16,104.71,124.8,18.115,6.795,4.692,0.691,2.769,3.666,3.55,5.825,12.576,3.358,12.023,5.006,49.53,2.402,2.52,4.184,0.678,0.134,0.198,1.819,1.677,2.537,1.181,1.902,3.397,1.046,3.199,3.547,0.961,3.914,5.456,3.777,2.68,NA,3.971,0.076,-0.045,-0.277,0.498,-0.17,-0.101,0.685
"348","38-.012-.005-.","Buprestis_octoguttata","Buprestidae",1,NA,1,1,"V","s",0,"","",13,102.77,28.376,11.008,3.775,2.629,0.696,1.805,2.44,1.89,3.241,7.714,1.924,7.881,2.771,18.775,2.844,1.511,2.75,0.422,0.617,1.462,1.803,0.881,1.915,0.597,1.622,1.945,0.451,1.877,2.088,0.435,2.436,17.094,11.407,0,6.225,8.682,-0.065,-0.015,-0.274,0.476,0.002,-0.071,1.092
"349","38-.013-.002-.","Melanophila_acuminata","Buprestidae",1,NA,1,1,"2","ss",0,"","",9,103.88,31.052,9.99,3.737,2.489,0.666,1.717,2.081,2.043,3.033,6.646,1.738,6.781,2.898,16.945,2.34,1.833,3.108,0.56,0.192,0.343,1.309,0.619,1.169,0.445,1.294,0.809,0.474,1.136,1.535,0.456,1.837,14.423,21.768,16.11,NA,17.434,0.012,0.024,-0.341,0.764,-0.403,0.139,0.853
"350","38-.0131.001-.","Trachypteris_picta","Buprestidae",1,NA,1,1,"D","?",0,"","",11,104.76,41.949,11.63,4.533,2.976,0.657,1.468,2.758,2.5,3.808,8.097,2.371,8.061,3.25,23.597,2.48,1.778,3.268,0.482,0.354,0.734,1.534,0.9,2.148,0.733,1.665,2.175,0.774,1.978,2.224,0.7,2.223,6.526,0,0,NA,2.175,0.069,-0.273,-0.298,0.584,0.067,0.052,0.885
