domain,phylum,Species,original.species,min.mass.g,max.mass.g,a,b,Temp.scaling,air.or.water,mass.type,K..1.y.,Linfinity,Temp.growth,annual.repro.g,tmax,Wmax,Reference,notes
Eukaryota,Arthropoda,Macrobrachium_rosenbergii,Macrobrachium_rosenbergii,NA,NA,NA,0.904,28,aquatic,dry,NA,NA,NA,NA,NA,NA,Stephenson and Knight (1980),no temperature dependence
Eukaryota,Arthropoda,Achroia_grisella,Achroia_grisella,0.0045,0.02032,1.1769057,0.958,26,aerial,wet,NA,NA,NA,NA,NA,NA,Strauss and Reinhold (2010),no temperature dependence
Eukaryota,Arthropoda,Achroia_grisella,Achroia_grisella,0.00978,0.03852,0.3738881,0.667,26,aerial,wet,NA,NA,NA,NA,NA,NA,Strauss and Reinhold (2010),no temperature dependence
Eukaryota,Arthropoda,Gromphadorhina_portentosa,Gromphadorhina_portentosa,0.06,10.61,0.09,0.52,25,aerial,wet,NA,NA,NA,NA,NA,NA,Streicher et al. (2012),no temperature dependence
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.799,1,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.662,3,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.733,5,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.724,6,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.818,8,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.899,10,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.799,11,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.759,12.5,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.821,15,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.817,16,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.778,17.5,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.823,19,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.769,20,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Isonychia_bicolor,Isonychia_bicolor,NA,NA,NA,0.727,21,aquatic,dry,NA,NA,NA,NA,NA,NA,Sweeney (1978),ready for digitisation
Eukaryota,Arthropoda,Euphausia_superba,Euphausia_superba,NA,NA,NA,0.9606,2.75,aquatic,dry,NA,NA,NA,NA,NA,NA,Tarling (2020),no temperature dependence
Eukaryota,Arthropoda,Heterozius_rotundifrons,Heterozius_rotundifrons,1.01,3,0.018816,0.67,15,aquatic,wet,NA,NA,NA,NA,NA,NA,Taylor and Leelapiyanart (2001),no temperature dependence
Eukaryota,Arthropoda,Heterozius_rotundifrons,Heterozius_rotundifrons,1.01,3,0.02016,0.48,15,aerial,wet,NA,NA,NA,NA,NA,NA,Taylor and Leelapiyanart (2001),no temperature dependence
Eukaryota,Arthropoda,Cyclograpsus_lavauxi,Cyclograpsus_lavauxii,1.12,5.1,0.022848,0.84,15,aquatic,wet,NA,NA,NA,NA,NA,NA,Taylor and Leelapiyanart (2001),no temperature dependence
Eukaryota,Arthropoda,Cyclograpsus_lavauxi,Cyclograpsus_lavauxii,1.12,5.1,0.042784,0.93,15,aerial,wet,NA,NA,NA,NA,NA,NA,Taylor and Leelapiyanart (2001),no temperature dependence
Eukaryota,Arthropoda,Minuca_minax,Uca_minax,0.013079497,8.292008724,0.237999,0.71,NA,aerial,wet,NA,NA,NA,NA,NA,NA,Teal (1959),crab
Eukaryota,Arthropoda,Leptuca_pugilator,Uca_pugilator,0.096564998,8.771502748,0.1498315,0.773,NA,aerial,wet,NA,NA,NA,NA,NA,NA,Teal (1959),crab
Eukaryota,Arthropoda,Minuca_pugnax,Uca_pugnax,0.003840964,2.129478427,0.167997,0.681,30,aerial,wet,NA,NA,NA,NA,NA,NA,Teal (1959),crab
Eukaryota,Arthropoda,Minuca_pugnax,Uca_pugnax,0.185972922,1.206685038,0.1100236,0.681,20,aerial,wet,NA,NA,NA,NA,NA,NA,Teal (1959),crab
Eukaryota,Arthropoda,Sesarma_reticulatum,Sesarma_reticulatum,0.002030918,1.638984698,0.0840721,0.653,NA,aerial,wet,NA,NA,NA,NA,NA,NA,Teal (1959),crab
Eukaryota,Arthropoda,Eurytium_limosum,Eurytium_limosum,0.059886363,1.685468529,0.0619716,0.765,NA,aerial,wet,NA,NA,NA,NA,NA,NA,Teal (1959),crab
Eukaryota,Arthropoda,Macroglossum_trochilus,Macroglossum_trochilus,0.145,0.32,1.5835015,1.058,20,aerial,wet,NA,NA,NA,NA,NA,NA,Terblanche and Anderson (2010),no temperature dependence
Eukaryota,Arthropoda,Moegistorhynchus_longirostris,Moegistorhynchus_longirostrus,0.125,0.28,0.9391969,1.092,20,aerial,wet,NA,NA,NA,NA,NA,NA,Terblanche and Anderson (2010),no temperature dependence
Eukaryota,Arthropoda,Damon_annulatipes,Damon_annulatipes,0.12,1.58,0.0613147,0.857,21,aerial,wet,NA,NA,NA,NA,NA,NA,Terblanche et al. (2004),no temperature dependence
Eukaryota,Arthropoda,Damon_annulatipes,Damon_annulatipes,0.12,1.73,0.046255,0.897,21,aerial,wet,NA,NA,NA,NA,NA,NA,Terblanche et al. (2004),no temperature dependence
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,0.57,9.33,0.0300021,0.623,12,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,0.63,11.57,0.0503676,0.764,15,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,0.67,9.33,0.0933579,0.429,17,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,0.84,6.56,0.1222225,0.613,22,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,0.58,13.67,0.1374521,0.657,28,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,0.67,9.54,0.1629864,0.623,33,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,0.58,13.67,0.1849913,0.626,36,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,0.92,13.67,0.2501216,0.646,39,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,1.42,5.12,0.0214858,0.95,7,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,1.25,5.12,0.0586342,0.526,12,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,1.25,5.12,0.0847523,0.535,17,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,0.95,5.12,0.1361919,0.79,27,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,1.66,5.12,0.2249838,0.544,33,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_rapax,Uca_rapax,1,5.12,0.2163472,0.62,39,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_pugnax,Uca_pugnax,0.94,4.72,0.0350067,0.23,7,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_pugnax,Uca_pugnax,1.06,4.65,0.0325201,0.463,12,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_pugnax,Uca_pugnax,0.88,5.95,0.059587,0.691,17,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_pugnax,Uca_pugnax,1.15,5.57,0.1256467,0.627,28,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_pugnax,Uca_pugnax,0.65,4.31,0.15891,0.696,33,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Minuca_pugnax,Uca_pugnax,0.89,5.57,0.2680102,0.684,39,aerial,wet,NA,NA,NA,NA,NA,NA,Vernberg (1959),crab
Eukaryota,Arthropoda,Solenopsis_invicta,Solenopsis_invicta,0.00075,0.0055,0.017378,0.549,25,aerial,wet,NA,NA,NA,NA,NA,NA,Vogt and Appel (1999),no temperature dependence
Eukaryota,Arthropoda,Solenopsis_invicta,Solenopsis_invicta,0.00075,0.0055,0.018197,0.6,25,aerial,wet,NA,NA,NA,NA,NA,NA,Vogt and Appel (1999),no temperature dependence
Eukaryota,Arthropoda,Nothrus_silvestris,Nothrus_silvestris,3.50E-06,5.24E-05,0.0561,0.9054,10,aerial,wet,NA,NA,NA,NA,NA,NA,Webb (1969),no temperature dependence
Eukaryota,Arthropoda,Steganacarus_magnus,Steganacarus_magnus,1.60E-05,0.0004268,0.0032,0.6096,18,aerial,wet,NA,NA,NA,NA,NA,NA,Webb (1975),no temperature dependence
Eukaryota,Arthropoda,Pugettia_producta,Pugettia_producta,1.64,329,0.17,0.798,15,aquatic,wet,NA,NA,NA,NA,NA,NA,Weymouth et al. (1944),no temperature dependence
Eukaryota,Arthropoda,Drosophila_serrata,Drosophila_serrata,6.00E-04,0.00123,3.6689488,0.9602,25,aerial,wet,NA,NA,NA,NA,NA,NA,White et al. (2019),no temperature dependence
Eukaryota,Arthropoda,Drosophila_serrata,Drosophila_serrata,0.00062,0.00131,0.5126744,0.6774,25,aerial,wet,NA,NA,NA,NA,NA,NA,White et al. (2019),no temperature dependence
Eukaryota,Arthropoda,Drosophila_serrata,Drosophila_serrata,0.00055,0.00129,7.8766519,1.0825,25,aerial,wet,NA,NA,NA,NA,NA,NA,White et al. (2019),no temperature dependence
Eukaryota,Arthropoda,Drosophila_serrata,Drosophila_serrata,0.00055,0.00156,3.2888317,0.9473,25,aerial,wet,NA,NA,NA,NA,NA,NA,White et al. (2019),no temperature dependence
Eukaryota,Arthropoda,Drosophila_serrata,Drosophila_serrata,0.00072,0.00135,2.4386061,0.9132,25,aerial,wet,NA,NA,NA,NA,NA,NA,White et al. (2019),no temperature dependence
NA,Arthropoda,Bombus_terrestris,Bombus_terrestris,0.134,0.242,0.4285903,0.7904049,15,aerial,wet,NA,NA,NA,NA,NA,NA,White et al. (2019),no temperature dependence
NA,Arthropoda,Bombus_terrestris,Bombus_terrestris,0.138,0.231,0.3497782,0.5780994,15,aerial,wet,NA,NA,NA,NA,NA,NA,White et al. (2019),no temperature dependence
NA,Arthropoda,Bombus_terrestris,Bombus_terrestris,0.123,0.258,0.512393,0.8262015,15,aerial,wet,NA,NA,NA,NA,NA,NA,White et al. (2019),no temperature dependence
NA,Arthropoda,Bombus_terrestris,Bombus_terrestris,0.107,0.255,0.4964775,0.8755215,15,aerial,wet,NA,NA,NA,NA,NA,NA,White et al. (2019),no temperature dependence
NA,Arthropoda,Bombus_terrestris,Bombus_terrestris,0.121,0.186,0.5725869,0.9049184,15,aerial,wet,NA,NA,NA,NA,NA,NA,White et al. (2019),no temperature dependence
NA,Arthropoda,Bombus_terrestris,Bombus_terrestris,0.157,0.225,0.3739621,0.6325266,15,aerial,wet,NA,NA,NA,NA,NA,NA,White et al. (2019),no temperature dependence
Eukaryota,Arthropoda,Blattella_germanica,Blattella_germanica,NA,NA,NA,0.702,28,aerial,AFDW,NA,NA,NA,NA,NA,NA,Woodland et al. (1968) ,no temperature dependence
Eukaryota,Arthropoda,Platorchestia_platensis,Platorchestia_platensis,NA,NA,NA,0.546,23.4,aquatic,dry,NA,NA,NA,NA,NA,NA,Wildish et al. (2018),no temperature dependence
Eukaryota,Arthropoda,Macarorchestia_remyi,Macarorchestia_remyi,NA,NA,NA,0.6328,23.4,aquatic,dry,NA,NA,NA,NA,NA,NA,Wildish et al. (2018),no temperature dependence
Eukaryota,Arthropoda,Damaeus_onustus,Damaeus_onustus,5.00E-05,7.00E-04,0.0013836,0.511,10,aerial,wet,NA,NA,NA,NA,NA,NA,Wood and Lawton (1973),no temperature dependence
Eukaryota,Arthropoda,Cilliba_cassidea,Cilliba_cassidia,2.50E-05,0.00033,0.009247,0.697,10,aerial,wet,NA,NA,NA,NA,NA,NA,Wood and Lawton (1973),no temperature dependence
Eukaryota,Arthropoda,Pergamasus_crassipes,Pergamasus_crassipes,1.00E-05,0.00015,0.0030339,0.516,10,aerial,wet,NA,NA,NA,NA,NA,NA,Wood and Lawton (1973),no temperature dependence
Eukaryota,Arthropoda,Blattella_germanica,Blattella_germanica,NA,NA,NA,1.287,28,aerial,AFDW,NA,NA,NA,NA,NA,NA,Woodland et al. (1968) ,no temperature dependence
Eukaryota,Arthropoda,Macropanesthia_rhinoceros,Macropanesthia_rhinoceros,2,20,0.0283267,0.74,10,aerial,wet,NA,NA,NA,NA,NA,NA,Xu et al. (2014),ready for digitisation
Eukaryota,Arthropoda,Macropanesthia_rhinoceros,Macropanesthia_rhinoceros,2,20,0.0842629,0.53,20,aerial,wet,NA,NA,NA,NA,NA,NA,Xu et al. (2014),ready for digitisation
Eukaryota,Arthropoda,Macropanesthia_rhinoceros,Macropanesthia_rhinoceros,2,20,0.2187251,0.49,30,aerial,wet,NA,NA,NA,NA,NA,NA,Xu et al. (2014),ready for digitisation
Eukaryota,Arthropoda,Themisto_pacifica,Themisto_pacifica,NA,NA,NA,0.947,5,aquatic,dry,NA,NA,NA,NA,NA,NA,Yamada and Ikeda (2003),no temperature dependence
Eukaryota,Arthropoda,Themisto_japonica,Themisto_japonica,NA,NA,NA,0.771,5,aquatic,dry,NA,NA,NA,NA,NA,NA,Yamada and Ikeda (2003),no temperature dependence
Eukaryota,Arthropoda,Primno_abyssalis,Primno_abyssalis,NA,NA,NA,1.003,5,aquatic,dry,NA,NA,NA,NA,NA,NA,Yamada and Ikeda (2003),no temperature dependence
Eukaryota,Arthropoda,Cyphocaris_challengeri,Cyphocaris_challengeri,NA,NA,NA,0.88,5,aquatic,dry,NA,NA,NA,NA,NA,NA,Yamada and Ikeda (2003),no temperature dependence
Eukaryota,Arthropoda,Alaskozetes_antarcticus,Alaskozetes_antarcticus,4.00E-06,0.00025,NA,0.772,0,aerial,dry,NA,NA,NA,NA,NA,NA,Young (1979),ready for digitisation
Eukaryota,Arthropoda,Alaskozetes_antarcticus,Alaskozetes_antarcticus,2.50E-06,0.00025,NA,0.693,5,aerial,dry,NA,NA,NA,NA,NA,NA,Young (1979),ready for digitisation
Eukaryota,Arthropoda,Alaskozetes_antarcticus,Alaskozetes_antarcticus,2.00E-06,0.00025,NA,0.712,10,aerial,dry,NA,NA,NA,NA,NA,NA,Young (1979),ready for digitisation
Eukaryota,Arthropoda,Alaskozetes_antarcticus,Alaskozetes_antarcticus,2.00E-05,0.00025,NA,0.969,15,aerial,dry,NA,NA,NA,NA,NA,NA,Young (1979),ready for digitisation
Eukaryota,Arthropoda,Alaskozetes_antarcticus,Alaskozetes_antarcticus,2.50E-06,2.00E-04,0.0147571,0.83,0,aerial,wet,NA,NA,NA,NA,NA,NA,Block (1977),(only 3 temps) but ready for digistisation 
Eukaryota,Arthropoda,Alaskozetes_antarcticus,Alaskozetes_antarcticus,1.00E-05,3.00E-04,0.108893,0.971,5,aerial,wet,NA,NA,NA,NA,NA,NA,Block (1977),(only 3 temps) but ready for digistisation 
Eukaryota,Arthropoda,Alaskozetes_antarcticus,Alaskozetes_antarcticus,4.00E-06,2.00E-04,0.1636817,0.976,10,aerial,wet,NA,NA,NA,NA,NA,NA,Block (1977),(only 3 temps) but ready for digistisation 
Eukaryota,Arthropoda,Cryptopygus_antarcticus,Cryptopygus_antarcticus,2.00E-06,0.00015,0.0096895,0.7533,0,aerial,wet,NA,NA,NA,NA,NA,NA,Block and Tilbrook (1975),(only 3 temps) but ready for digistisation 
Eukaryota,Arthropoda,Cryptopygus_antarcticus,Cryptopygus_antarcticus,2.00E-06,0.00015,0.007,0.6692,5,aerial,wet,NA,NA,NA,NA,NA,NA,Block and Tilbrook (1975),(only 3 temps) but ready for digistisation 
Eukaryota,Arthropoda,Cryptopygus_antarcticus,Cryptopygus_antarcticus,2.00E-06,0.00015,0.0479402,0.8249,10,aerial,wet,NA,NA,NA,NA,NA,NA,Block and Tilbrook (1975),(only 3 temps) but ready for digistisation 
Eukaryota,Arthropoda,Parastacus_pugnax,Parastacus_pugnax,0.24,42.93,0.0275516,0.78,12,aquatic,wet,NA,NA,NA,NA,NA,NA,Toro-Chacon et al. (2021),no temperature dependence
Eukaryota,Arthropoda,Portunus_armatus,Portunus_armatus,124.54,538.09,0.50988,0.6504,29,aquatic,wet,NA,NA,NA,NA,NA,NA,Junk et al. (2021),crab
Eukaryota,Arthropoda,Portunus_armatus,Portunus_armatus,124.41,537.39,0.02786,1.091,24,aquatic,wet,NA,NA,NA,NA,NA,NA,Junk et al. (2021),crab
Eukaryota,Arthropoda,Portunus_armatus,Portunus_armatus,146.63,537.44,0.20363,0.6668,19,aquatic,wet,NA,NA,NA,NA,NA,NA,Junk et al. (2021),crab
Eukaryota,Arthropoda,Megachile_rotundata,Megachile_rotundata,0.004,0.051,0.2265938,0.603,NA,aerial,wet,NA,NA,NA,NA,NA,NA,Grula et al. (2021),no temperature dependence
Eukaryota,Arthropoda,Tenodera_sinensis,Tenodera_sinensis,0.05,1.798,NA,0.782,25,aerial,wet,NA,NA,NA,NA,NA,NA,McCue et al. (2016),no temperature dependence
Eukaryota,Arthropoda,Polyspilota_griffinii,Polyspilota_griffini,0.067,1.047,NA,0.849,25,aerial,wet,NA,NA,NA,NA,NA,NA,McCue et al. (2016),no temperature dependence
Eukaryota,Arthropoda,Austrothelphusa_transversa,Holthuisana_transversa,3.4,29.7,0.207,0.405,25,aerial,wet,NA,NA,NA,NA,NA,NA,MacMillen and Greenaway (1978),no temperature dependence
Eukaryota,Arthropoda,Protaphorura_meridiata,Onychiurus_meridiatus,1.00E-06,1.90E-05,0.040738,0.8,5,aerial,wet,NA,NA,NA,NA,NA,NA,Argyropoulou and Stamou (1993),ready for digitisation
Eukaryota,Arthropoda,Protaphorura_meridiata,Onychiurus_meridiatus,1.00E-06,1.90E-05,0.057544,0.8,10,aerial,wet,NA,NA,NA,NA,NA,NA,Argyropoulou and Stamou (1993),ready for digitisation
Eukaryota,Arthropoda,Protaphorura_meridiata,Onychiurus_meridiatus,1.00E-06,1.90E-05,0.0912011,0.82,15,aerial,wet,NA,NA,NA,NA,NA,NA,Argyropoulou and Stamou (1993),ready for digitisation
Eukaryota,Arthropoda,Protaphorura_meridiata,Onychiurus_meridiatus,1.00E-06,1.90E-05,0.0095499,0.52,20,aerial,wet,NA,NA,NA,NA,NA,NA,Argyropoulou and Stamou (1993),ready for digitisation
Eukaryota,Arthropoda,Protaphorura_meridiata,Onychiurus_meridiatus,1.00E-06,1.90E-05,0.0047863,0.45,25,aerial,wet,NA,NA,NA,NA,NA,NA,Argyropoulou and Stamou (1993),ready for digitisation
Eukaryota,Arthropoda,Protaphorura_meridiata,Onychiurus_meridiatus,4.00E-06,1.90E-05,8.91E-05,0.14,30,aerial,wet,NA,NA,NA,NA,NA,NA,Argyropoulou and Stamou (1993),ready for digitisation
Eukaryota,Arthropoda,Cryptopygus_cisantarcticus,Cryptopygus_antarciticus,3.98E-06,7.94E-05,0.0014791,0.57,2,aerial,wet,NA,NA,NA,NA,NA,NA,Tillbrook and Block (1972),ready for digitisation
Eukaryota,Arthropoda,Cryptopygus_cisantarcticus,Cryptopygus_antarciticus,1.26E-05,0.000177828,4.07E-05,0.18,6,aerial,wet,NA,NA,NA,NA,NA,NA,Tillbrook and Block (1972),ready for digitisation
Eukaryota,Arthropoda,Cryptopygus_cisantarcticus,Cryptopygus_antarciticus,1.00E-05,7.94E-05,4.07E-05,0.12,8,aerial,wet,NA,NA,NA,NA,NA,NA,Tillbrook and Block (1972),ready for digitisation
Eukaryota,Arthropoda,Supraphorura_furcifera,Onychiurus_furcifer,NA,NA,NA,0.691,6,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Supraphorura_furcifera,Onychiurus_furcifer,NA,NA,NA,0.807,10,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Supraphorura_furcifera,Onychiurus_furcifer,NA,NA,NA,0.785,15,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Onychiurus_armatus,Onychiurus_armatus,2.00E-06,3.00E-05,NA,0.821,6,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Onychiurus_armatus,Onychiurus_armatus,4.00E-06,3.00E-05,NA,0.703,10,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Onychiurus_armatus,Onychiurus_armatus,2.00E-06,3.00E-05,NA,0.809,15,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Folsomia_quadrioculata,Folsomia_quadrioculata,NA,NA,NA,0.555,6,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Folsomia_quadrioculata,Folsomia_quadrioculata,NA,NA,NA,0.539,10,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Folsomia_quadrioculata,Folsomia_quadrioculata,NA,NA,NA,0.78,15,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Folsomia_manolachei,Folsomia_nana,NA,NA,NA,0.12,6,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Folsomia_manolachei,Folsomia_nana,NA,NA,NA,1.263,10,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Folsomia_manolachei,Folsomia_nana,NA,NA,NA,1.594,15,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Folsomia_quadrioculata,Folsomia_quadrioculata,NA,NA,NA,0.394,6,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Folsomia_quadrioculata,Folsomia_quadrioculata,NA,NA,NA,0.672,10,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Folsomia_quadrioculata,Folsomia_quadrioculata,NA,NA,NA,0.965,15,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Isotomiella_minor,Isotomiella_minor,NA,NA,NA,0.843,6,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Isotomiella_minor,Isotomiella_minor,NA,NA,NA,0.116,10,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Isotomiella_minor,Isotomiella_minor,NA,NA,NA,0.994,15,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Parisotoma_notabilis,Isotoma_notabilis,1.50E-06,1.00E-05,NA,0.831,6,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Parisotoma_notabilis,Isotoma_notabilis,1.00E-06,6.00E-06,NA,0.717,10,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Parisotoma_notabilis,Isotoma_notabilis,1.00E-06,6.00E-06,NA,0.886,15,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Tomocerus_flavescens,Tomocerus_flavescens,3.00E-06,3.00E-04,NA,1.018,6,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Tomocerus_flavescens,Tomocerus_flavescens,3.00E-06,2.00E-04,NA,0.991,10,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Tomocerus_flavescens,Tomocerus_flavescens,2.00E-06,3.00E-04,NA,0.925,15,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Dicyrtomina_minuta,Dicyrtomina_minuta,2.00E-06,2.00E-04,NA,0.832,6,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Dicyrtomina_minuta,Dicyrtomina_minuta,7.00E-06,2.00E-04,NA,0.815,10,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Dicyrtomina_minuta,Dicyrtomina_minuta,7.00E-06,0.00015,NA,0.955,15,aerial,dry,NA,NA,NA,NA,NA,NA,Petersen (1981),ready for digitisation
Eukaryota,Arthropoda,Gryllus_firmus,Gryllus_firmus,0.76,1.3,0.88,0.856,27,aerial,wet,NA,NA,NA,NA,NA,NA,Treidel et al. (2022),no temperature dependence
Eukaryota,Arthropoda,Hadrurus_arizonensis,Hadrurus_arizonensis,1.45,9,0.0509064,0.7724,25,aerial,wet,NA,NA,NA,NA,NA,NA,Lighton et al. (2001),no temperature dependence
Eukaryota,Arthropoda,Paruroctonus_mesaensis,Paruroctonus_mesaensis,0.164,2.38,0.0446713,1.0074,25,aerial,wet,NA,NA,NA,NA,NA,NA,Lighton et al. (2001),no temperature dependence
