"","Species","N","Live Mass (mg)","Temperature (C)","Metabolic Rate (Jh-1)","Reference","Notes"
"360","Neriene litigiosa","133","19.0","25",".0936","DeCarvalho et al. 2004","Adult male; mass and"
"361","Pardosa amentata","","55.0","3",".0246","Ford 1977b","Adult"
"362","Pardosa amentata","","55.0","4",".0367","Ford 1977b","Adult"
"363","Pardosa amentata","","55.0","5",".0476","Ford 1977b","Adult"
"364","Pardosa amentata","","55.0","7",".0491","Ford 1977b","Adult"
"365","Pardosa amentata","","55.0","9",".0801","Ford 1977b","Adult"
"366","Pardosa amentata","","55.0","10",".0852","Ford 1977b","Adult"
"367","Pardosa amentata","","55.0","10",".0926","Ford 1977b","Adult"
"368","Pardosa amentata","","55.0","13",".117","Ford 1977b","Adult"
"369","Pardosa amentata","","55.0","14",".134","Ford 1977b","Adult"
"370","Pardosa amentata","","55.0","15",".140","Ford 1977b","Adult"
"371","Pardos astrigera","","60.0","20",".223","Miyashita 1969","Cited in Humphreys"
"372","Pardos astrigera","12","52.7","25",".482","Tanaka et al. 1985","Female"
"373","Pardos astrigera","10","43.7","25",".388","Tanaka et al. 1985","Male"
"374","Pardos astrigera","11","52.5","25",".455","Tanaka et al. 1985","Female"
"375","Pardos astrigera","10","39.8","25",".266","Tanaka et al. 1985","Male"
"376","Pardos astrigera","","60.0","30",".542","Miyashita 1969","Cited in Humphreys"
"377","Pardosa laura","","30.0","25",".450","Nakamura 1972","Cited in Humphreys"
"378","Pardosa lugubris","24","22.4","20",".0788","Schmitz 2004","Female; converted from"
"379","Pardosa lugubris","25","21.7","20",".0729","Schmitz 2004","Male; converted from"
"380","Pardosa pseudoannulata","","100","29",".625","Ito 1964","Cited in Humphreys"
"381","Pardosa pullata","","16.2","20",".144","Myrcha and Stejgwillo-","Cited in Humphreys"
"382","Pardosa pullata","","9.00","20",".0309","Myrcha and Stejgwillo-","Cited in Humphreys"
"383","Pelegrina galathea","24","8.30","20",".0352","Anderson 1996","Mass is midpoint from"
"384","Phiddipus johnsoni","1","173","22",".463","Greenstone and Bennett 1980","Female"
"385","Phidippus audax","41","171","20",".650","Anderson 1996","Mass is midpoint from"
"386","Phidippus clarus","7","260","20",".929","Anderson 1996",""
"387","Phidippus otiosus","13","337","20",".970","Anderson 1970","Adult female"
"388","Phidippus pulcherrimus","131","104","20",".356","Anderson 1996","Mass is midpoint from"
"389","Phidippus regius","14","568","10",".493","Anderson 1970","Adult female"
"390","Phidippus regius","42","568","20","1.01","Anderson 1970","Adult female"
"391","Phidippus regius","28","568","30","2.72","Anderson 1970","Adult female"
"392","Pirata latitans","","9.00","20",".0822","Myrcha and Stejgwillo-","Cited in Humphreys"
"393","Pirata latitans","","9.00","20",".0943","Myrcha and Stejgwillo-","Cited in Humphreys"
"394","Rabidosa rabida","10","286","15","1.04","Van Hook 1971","Adult"
"395","Rabidosa rabida","8","204","20",".991","Van Hook 1971","Adult"
"396","Rabidosa rabida","9","207","25","1.56","Van Hook 1971","Adult"
"397","Salticus scenicus","24","4.34","20",".0259","Schmitz and Perry 2001","Female"
"398","Salticus scenicus","29","4.49","20",".0877","Schmitz and Perry 2001","Female"
"399","Sarinda hentzi","2","4.60","20",".0404","Anderson 1996",""
"400","Sassacus vitis","1","5.70","22",".0525","Greenstone and Bennett 1980","Female"
"401","Schizocosa mccooki","1","512","22","1.71","Greenstone and Bennett 1980","Female"
"402","Schizocosa sp.","3","23.4","20",".119","Riechle 1968",""
"403","Sosippus janus","","360","25",".815","Prestwich 1977",""
"405","Tenuiphantes zimmermanni","","4.00","3",".00798","Ford 1977a","Adult"
"406","Tenuiphantes zimmermanni","","4.00","3",".00775","Ford 1977a","Adult"
"407","Tenuiphantes zimmermanni","","4.00","4",".00854","Ford 1977a","Adult"
"408","Tenuiphantes zimmermanni","","4.00","5",".00991","Ford 1977a","Adult"
"409","Tenuiphantes zimmermanni","","4.00","7",".0110","Ford 1977a","Adult"
"410","Tenuiphantes zimmermanni","","4.00","9",".0131","Ford 1977a","Adult"
"411","Tenuiphantes zimmermanni","","4.00","10",".0139","Ford 1977a","Adult"
"412","Tenuiphantes zimmermanni","","4.00","10",".0162","Ford 1977a","Adult"
"413","Tenuiphantes zimmermanni","","4.00","13",".0183","Ford 1977a","Adult"
"414","Tenuiphantes zimmermanni","","4.00","14",".0191","Ford 1977a","Adult"
"415","Tenuiphantes zimmermanni","","4.00","15",".0199","Ford 1977a","Adult"
"416","Thiodina sylvana","15","67.0","20",".278","Anderson 1996","Mass is midpoint from"
"417","Trochosa ruricola","","121","20",".663","Myrcha and Stejgwillo-","Cited in Humphreys"
"418","Trochosa ruricola","","101","20",".366","Myrcha and Stejgwillo-","Cited in Humphreys"
"419","Urozelotes rusticus","1","52.5","22",".127","Greenstone and Bennett 1980","Female"
"420","Xysticus funestus","61","29.9","20",".117","Anderson 1996","Mass is midpoint from"
"421","Zygoballus rufipes","2","3.00","20",".0121","Anderson 1996",""
